,,,,,,,,,,,,,,,,,,,,
,Message,Signal,Event trans.,MSB,LSB,Size [bit],[s]igned or [u]nsigned,Resolution,Offset,Range [MIN],Range [MAX],Startup / Default,Unit,Accuracy,Signal Age [ms],Values Table,Property,Value,Note,List of revisions
,DOWNLOAD_DIAGNOSE_REQUEST,TPDU,Yes,63,0,64,–,–,–,–,–,–,–,–,–,No,–,–,See spec. 07274,
,STATUS_B-NCA_NCR,Reserved,No,63,56,8,–,–,–,–,–,–,–,–,–,No,–,–,,
,STATUS_B-NCA_NCR,ShiftModeSts,No,55,55,1,u,1,0,0,1,1,–,–,–,Yes,Manual,0,,
,STATUS_B-NCA_NCR,ShiftModeSts,No,55,55,1,u,1,0,0,1,1,–,–,–,Yes,Automatic,1,,
,STATUS_B-NCA_NCR,DriveModeSts,No,54,52,3,u,1,0,0,7,0,–,–,–,Yes,No programs are available or selected,0,,
,STATUS_B-NCA_NCR,DriveModeSts,No,54,52,3,u,1,0,0,7,0,–,–,–,Yes,Eco/Auto,1,,
,STATUS_B-NCA_NCR,DriveModeSts,No,54,52,3,u,1,0,0,7,0,–,–,–,Yes,Sport,2,,
,STATUS_B-NCA_NCR,DriveModeSts,No,54,52,3,u,1,0,0,7,0,–,–,–,Yes,Ice/Winter,4,,
,STATUS_B-NCA_NCR,DriveModeSts,No,54,52,3,u,1,0,0,7,0,–,–,–,Yes,Not used,other values,,
,STATUS_B-NCA_NCR,NumberOfGears,No,51,49,3,u,1,0,0,7,Number of gears available,–,–,–,Yes,Tip 4,1,,
,STATUS_B-NCA_NCR,NumberOfGears,No,51,49,3,u,1,0,0,7,Number of gears available,–,–,–,Yes,Tip 5,2,,
,STATUS_B-NCA_NCR,NumberOfGears,No,51,49,3,u,1,0,0,7,Number of gears available,–,–,–,Yes,Tip 6,3,,
,STATUS_B-NCA_NCR,NumberOfGears,No,51,49,3,u,1,0,0,7,Number of gears available,–,–,–,Yes,Tip 7,4,,
,STATUS_B-NCA_NCR,NumberOfGears,No,51,49,3,u,1,0,0,7,Number of gears available,–,–,–,Yes,Not used,other values,,
,STATUS_B-NCA_NCR,GearSwitchActiveSts,No,48,48,1,u,1,0,0,1,0,–,–,–,Yes,Stable range,0,,
,STATUS_B-NCA_NCR,GearSwitchActiveSts,No,48,48,1,u,1,0,0,1,0,–,–,–,Yes,Shifting in progress,1,,
,STATUS_B-NCA_NCR,ShiftLeverPosition,No,47,45,3,u,1,0,0,7,Lever Position,–,–,–,Yes,No selection active or available,0,,
,STATUS_B-NCA_NCR,ShiftLeverPosition,No,47,45,3,u,1,0,0,7,Lever Position,–,–,–,Yes,P,1,,
,STATUS_B-NCA_NCR,ShiftLeverPosition,No,47,45,3,u,1,0,0,7,Lever Position,–,–,–,Yes,R,2,,
,STATUS_B-NCA_NCR,ShiftLeverPosition,No,47,45,3,u,1,0,0,7,Lever Position,–,–,–,Yes,N,3,,
,STATUS_B-NCA_NCR,ShiftLeverPosition,No,47,45,3,u,1,0,0,7,Lever Position,–,–,–,Yes,D,4,,
,STATUS_B-NCA_NCR,ShiftLeverPosition,No,47,45,3,u,1,0,0,7,Lever Position,–,–,–,Yes,L or 3 or 4,5,,
,STATUS_B-NCA_NCR,ShiftLeverPosition,No,47,45,3,u,1,0,0,7,Lever Position,–,–,–,Yes,2 or 3,6,,
,STATUS_B-NCA_NCR,ShiftLeverPosition,No,47,45,3,u,1,0,0,7,Lever Position,–,–,–,Yes,1 or 2,7,,
,STATUS_B-NCA_NCR,ActualGearForDisplay,No,44,41,4,u,1,0,0,15,0,–,–,–,Yes,Not coded,0,"""L"" not present in Norma FIAT 07325",
,STATUS_B-NCA_NCR,ActualGearForDisplay,No,44,41,4,u,1,0,0,15,0,–,–,–,Yes,1st gear,1,,
,STATUS_B-NCA_NCR,ActualGearForDisplay,No,44,41,4,u,1,0,0,15,0,–,–,–,Yes,2nd gear,2,,
,STATUS_B-NCA_NCR,ActualGearForDisplay,No,44,41,4,u,1,0,0,15,0,–,–,–,Yes,3rd gear,3,,
,STATUS_B-NCA_NCR,ActualGearForDisplay,No,44,41,4,u,1,0,0,15,0,–,–,–,Yes,4th gear,4,,
,STATUS_B-NCA_NCR,ActualGearForDisplay,No,44,41,4,u,1,0,0,15,0,–,–,–,Yes,5th gear,5,,
,STATUS_B-NCA_NCR,ActualGearForDisplay,No,44,41,4,u,1,0,0,15,0,–,–,–,Yes,6th gear,6,,
,STATUS_B-NCA_NCR,ActualGearForDisplay,No,44,41,4,u,1,0,0,15,0,–,–,–,Yes,7th gear,7,,
,STATUS_B-NCA_NCR,ActualGearForDisplay,No,44,41,4,u,1,0,0,15,0,–,–,–,Yes,Not used,8 ÷ 10,,
,STATUS_B-NCA_NCR,ActualGearForDisplay,No,44,41,4,u,1,0,0,15,0,–,–,–,Yes,"""P""",11,,
,STATUS_B-NCA_NCR,ActualGearForDisplay,No,44,41,4,u,1,0,0,15,0,–,–,–,Yes,"""D""",12,,
,STATUS_B-NCA_NCR,ActualGearForDisplay,No,44,41,4,u,1,0,0,15,0,–,–,–,Yes,"""L""",13,,
,STATUS_B-NCA_NCR,ActualGearForDisplay,No,44,41,4,u,1,0,0,15,0,–,–,–,Yes,"""R""",14,,
,STATUS_B-NCA_NCR,ActualGearForDisplay,No,44,41,4,u,1,0,0,15,0,–,–,–,Yes,"""N""",15,,
,STATUS_B-NCA_NCR,Automatic_RoboticTrasmissionFailSts,No,40,40,1,u,1,0,0,1,0,–,–,–,Yes,Fail Not Present,0,,
,STATUS_B-NCA_NCR,Automatic_RoboticTrasmissionFailSts,No,40,40,1,u,1,0,0,1,0,–,–,–,Yes,Fail Present,1,,
,STATUS_B-NCA_NCR,GearIndicationSts,No,39,39,1,u,1,0,0,1,0,–,–,–,Yes,Normal,0,,
,STATUS_B-NCA_NCR,GearIndicationSts,No,39,39,1,u,1,0,0,1,0,–,–,–,Yes,Blinking,1,,
,STATUS_B-NCA_NCR,OilTemperatureSts,No,38,38,1,u,1,0,0,1,0,–,–,–,Yes,Normal,0,,
,STATUS_B-NCA_NCR,OilTemperatureSts,No,38,38,1,u,1,0,0,1,0,–,–,–,Yes,High,1,,
,STATUS_B-NCA_NCR,BuzzerReqSts,No,37,36,2,u,1,0,0,3,0,–,–,–,Yes,OFF,0,,
,STATUS_B-NCA_NCR,BuzzerReqSts,No,37,36,2,u,1,0,0,3,0,–,–,–,Yes,Reverse gear sound ON,1,,
,STATUS_B-NCA_NCR,BuzzerReqSts,No,37,36,2,u,1,0,0,3,0,–,–,–,Yes,Others case sound ON,2,,
,STATUS_B-NCA_NCR,BuzzerReqSts,No,37,36,2,u,1,0,0,3,0,–,–,–,Yes,Not used,3,,
,STATUS_B-NCA_NCR,TypeOfGearBox,No,35,34,2,u,1,0,0,3,–,–,–,–,Yes,Automatic Transmission,1,,
,STATUS_B-NCA_NCR,TypeOfGearBox,No,35,34,2,u,1,0,0,3,–,–,–,–,Yes,Continuously Variable Transmission,2,,
,STATUS_B-NCA_NCR,TypeOfGearBox,No,35,34,2,u,1,0,0,3,–,–,–,–,Yes,Robotic Transmission,3,,
,STATUS_B-NCA_NCR,TypeOfGearBox,No,35,34,2,u,1,0,0,3,–,–,–,–,Yes,Not used,0,,
,STATUS_B-NCA_NCR,AirConSts,No,33,33,1,u,1,0,0,1,0,–,–,–,Yes,Compressor is passive,0,,
,STATUS_B-NCA_NCR,AirConSts,No,33,33,1,u,1,0,0,1,0,–,–,–,Yes,Compressor is active,1,,
,STATUS_B-NCA_NCR,Reserved (GearSwitchActiveStsValidData),No,32,32,1,u,1,0,0,1,0,–,–,–,No,Not valid,0,,
,STATUS_B-NCA_NCR,Reserved (GearSwitchActiveStsValidData),No,32,32,1,u,1,0,0,1,0,–,–,–,No,Valid,1,,
,STATUS_B-NCA_NCR,KeyUnLockReq,No,31,31,1,u,1,0,0,1,0,–,–,–,Yes,Not active,0,"Not active = key is mechanical locked
Active = key is removable",
,STATUS_B-NCA_NCR,KeyUnLockReq,No,31,31,1,u,1,0,0,1,0,–,–,–,Yes,Active,1,,
,STATUS_B-NCA_NCR,ShiftLeverUnLockReq,No,30,30,1,u,1,0,0,1,0,–,–,–,Yes,Not active,0,"Not active = lever is mechanical locked
Active = lever is unlocked",
,STATUS_B-NCA_NCR,ShiftLeverUnLockReq,No,30,30,1,u,1,0,0,1,0,–,–,–,Yes,Active,1,,
,STATUS_B-NCA_NCR,OilCoolerFanReq,No,29,29,1,u,1,0,0,1,0,–,–,–,Yes,No Fan Request from NCA,0,,
,STATUS_B-NCA_NCR,OilCoolerFanReq,No,29,29,1,u,1,0,0,1,0,–,–,–,Yes,Fan Request from NCA,1,,
,STATUS_B-NCA_NCR,RoboticShiftLeverType,No,28,27,2,u,1,0,0,3,0,–,–,–,Yes,Monostable shifter,0,,
,STATUS_B-NCA_NCR,RoboticShiftLeverType,No,28,27,2,u,1,0,0,3,0,–,–,–,Yes,Multistable shifter,1,,
,STATUS_B-NCA_NCR,RoboticShiftLeverType,No,28,27,2,u,1,0,0,3,0,–,–,–,Yes,Not used,2 ÷ 3,,
,STATUS_B-NCA_NCR,KeyLockFunctionality,No,26,26,1,u,1,0,0,1,0,–,–,–,Yes,Not Present,0,,
,STATUS_B-NCA_NCR,KeyLockFunctionality,No,26,26,1,u,1,0,0,1,0,–,–,–,Yes,Present,1,,
,STATUS_B-NCA_NCR,RoboticTransmissionFailCodes,No,25,24,2,u,1,0,0,3,0,–,–,–,Yes,Fail Not Present,0,,
,STATUS_B-NCA_NCR,RoboticTransmissionFailCodes,No,25,24,2,u,1,0,0,3,0,–,–,–,Yes,NCR warning present,1,,
,STATUS_B-NCA_NCR,RoboticTransmissionFailCodes,No,25,24,2,u,1,0,0,3,0,–,–,–,Yes,NCR vehicle interface fail present,2,,
,STATUS_B-NCA_NCR,RoboticTransmissionFailCodes,No,25,24,2,u,1,0,0,3,0,–,–,–,Yes,NCR internal Fail present,3,,
,STATUS_B-NCA_NCR,RoboticTransmissionWarning,No,23,18,6,u,1,0,0,63,0,–,–,–,Yes,No warning,0,For all property see note field in F200,
,STATUS_B-NCA_NCR,RoboticTransmissionWarning,No,23,18,6,u,1,0,0,63,0,–,–,–,Yes,Press brake pedal warning,1,,
,STATUS_B-NCA_NCR,RoboticTransmissionWarning,No,23,18,6,u,1,0,0,63,0,–,–,–,Yes,Tip not available warning,2,,
,STATUS_B-NCA_NCR,RoboticTransmissionWarning,No,23,18,6,u,1,0,0,63,0,–,–,–,Yes,Lower gear shifts warning,3,,
,STATUS_B-NCA_NCR,RoboticTransmissionWarning,No,23,18,6,u,1,0,0,63,0,–,–,–,Yes,Manual mode not available warning,4,,
,STATUS_B-NCA_NCR,RoboticTransmissionWarning,No,23,18,6,u,1,0,0,63,0,–,–,–,Yes,Insert N warning,5,,
,STATUS_B-NCA_NCR,RoboticTransmissionWarning,No,23,18,6,u,1,0,0,63,0,–,–,–,Yes,Automatic mode not available warning,6,,
,STATUS_B-NCA_NCR,RoboticTransmissionWarning,No,23,18,6,u,1,0,0,63,0,–,–,–,Yes,Delayed start up warning,7,,
,STATUS_B-NCA_NCR,RoboticTransmissionWarning,No,23,18,6,u,1,0,0,63,0,–,–,–,Yes,Clutch over temperature,8,,
,STATUS_B-NCA_NCR,RoboticTransmissionWarning,No,23,18,6,u,1,0,0,63,0,–,–,–,Yes,Manoeuvre not allowed warning,9,,
,STATUS_B-NCA_NCR,RoboticTransmissionWarning,No,23,18,6,u,1,0,0,63,0,–,–,–,Yes,Press brake pedal and repeat manoeuvre warning,10,,
,STATUS_B-NCA_NCR,RoboticTransmissionWarning,No,23,18,6,u,1,0,0,63,0,–,–,–,Yes,F1-pump overheating: lower gear shifts warning,11,,
,STATUS_B-NCA_NCR,RoboticTransmissionWarning,No,23,18,6,u,1,0,0,63,0,–,–,–,Yes,Parking lock not inserted,12,,
,STATUS_B-NCA_NCR,RoboticTransmissionWarning,No,23,18,6,u,1,0,0,63,0,–,–,–,Yes,Carwash mode activation,13,,
,STATUS_B-NCA_NCR,RoboticTransmissionWarning,No,23,18,6,u,1,0,0,63,0,–,–,–,Yes,Disengage parklock request,14,,
,STATUS_B-NCA_NCR,RoboticTransmissionWarning,No,23,18,6,u,1,0,0,63,0,–,–,–,Yes,Creeping Deactivation,15,,
,STATUS_B-NCA_NCR,RoboticTransmissionWarning,No,23,18,6,u,1,0,0,63,0,–,–,–,Yes,Not used,16 ÷ 63,,
,STATUS_B-NCA_NCR,ReverseGearSts,No,17,17,1,u,1,0,0,1,0,–,–,–,Yes,Not inserted,0,,
,STATUS_B-NCA_NCR,ReverseGearSts,No,17,17,1,u,1,0,0,1,0,–,–,–,Yes,Inserted,1,,
,STATUS_B-NCA_NCR,AutomaticRoboticTransmissionDegradedMode,No,16,16,1,u,1,0,0,1,1,–,–,–,Yes,Not active,0,,
,STATUS_B-NCA_NCR,AutomaticRoboticTransmissionDegradedMode,No,16,16,1,u,1,0,0,1,1,–,–,–,Yes,Active,1,,
,STATUS_B-NCA_NCR,FastGearAvailableSts,No,15,15,1,u,1,0,0,1,0,–,–,–,Yes,Not  Available,0,,
,STATUS_B-NCA_NCR,FastGearAvailableSts,No,15,15,1,u,1,0,0,1,0,–,–,–,Yes,Available,1,,
,STATUS_B-NCA_NCR,F1SportSts,No,14,14,1,u,1,0,0,1,0,–,–,–,Yes,Not Inserted,0,,
,STATUS_B-NCA_NCR,F1SportSts,No,14,14,1,u,1,0,0,1,0,–,–,–,Yes,Inserted,1,,
,STATUS_B-NCA_NCR,Not used,No,13,13,1,–,–,–,–,–,–,–,–,–,No,–,–,,
,STATUS_B-NCA_NCR,OverDriveSts,No,12,12,1,u,1,0,0,1,0,–,–,–,Yes,Not active,0,,3
,STATUS_B-NCA_NCR,OverDriveSts,No,12,12,1,u,1,0,0,1,0,–,–,–,Yes,Active,1,,3
,STATUS_B-NCA_NCR,AutomaticTransmissionWarning,No,11,8,4,u,1,0,0,1,0,–,–,–,Yes,No warning,0,For all property see note field in F338,
,STATUS_B-NCA_NCR,AutomaticTransmissionWarning,No,11,8,4,u,1,0,0,1,0,–,–,–,Yes,Gear box lever not in P,1,,
,STATUS_B-NCA_NCR,AutomaticTransmissionWarning,No,11,8,4,u,1,0,0,1,0,–,–,–,Yes,Put the lever in P,2,,
,STATUS_B-NCA_NCR,AutomaticTransmissionWarning,No,11,8,4,u,1,0,0,1,0,–,–,–,Yes,Extract key,3,,
,STATUS_B-NCA_NCR,AutomaticTransmissionWarning,No,11,8,4,u,1,0,0,1,0,–,–,–,Yes,Manual mode not available,4,,
,STATUS_B-NCA_NCR,AutomaticTransmissionWarning,No,11,8,4,u,1,0,0,1,0,–,–,–,Yes,Not used,5 ÷ 15,,
,STATUS_B-NCA_NCR,PerformanceLaunchMode,No,7,7,1,u,1,0,0,1,0,–,–,–,Yes,Not active,0,,
,STATUS_B-NCA_NCR,PerformanceLaunchMode,No,7,7,1,u,1,0,0,1,0,–,–,–,Yes,Active,1,,
,STATUS_B-NCA_NCR,Not used,No,6,0,7,–,–,–,–,–,–,–,–,–,No,–,–,,
,NBC_VPS1,VPSRandomCode,No,63,48,16,–,–,–,–,–,–,–,–,–,No,see spec.,–,,
,NBC_VPS1,VPSCheckCode,No,47,40,8,–,–,–,–,–,–,–,–,–,No,see spec.,–,,
,NBC_VPS1,VPSDriverDoorSts,Yes,39,38,2,–,–,–,–,–,0,–,–,–,Yes,Closed_Unlocked,0,,
,NBC_VPS1,VPSDriverDoorSts,Yes,39,38,2,–,–,–,–,–,0,–,–,–,Yes,Closed_Locked,1,,
,NBC_VPS1,VPSDriverDoorSts,Yes,39,38,2,–,–,–,–,–,0,–,–,–,Yes,Open_Unlocked,2,,
,NBC_VPS1,VPSDriverDoorSts,Yes,39,38,2,–,–,–,–,–,0,–,–,–,Yes,Open_Locked,3,,
